date,RF,MKT,SMB,HML
1996/7/4,0.000133,0.004971814,-0.007106637,0.020590502
1996/7/5,0.000133,0.00956285,0.012445338,0.019707816
1996/7/8,0.000133,0.035734675,-0.026728852,0.01649482
1996/7/9,0.000133,0.019201743,-0.009838087,0.028881063
1996/7/10,0.000133,0.010385871,0.02832625,0.011721602
1996/7/11,0.000133,-0.037337644,0.01226828,-0.009449011
1996/7/12,0.000133,0.022486557,0.007036119,0.039639556
1996/7/15,0.000133,0.002829423,0.019713421,0.031238494
1996/7/16,0.000133,0.04181319,0.006818139,0.010855316
1996/7/17,0.000133,-0.023178215,0.004321799,-0.018095892
1996/7/18,0.000133,0.027392978,0.019318003,0.042576793
1996/7/19,0.000133,0.042287644,0.017943631,-0.028905335
1996/7/22,0.000133,0.033797318,0.016629364,0.009642395
1996/7/23,0.000133,-0.007088579,-0.015018215,0.013052953
1996/7/24,0.000133,0.013794894,-0.003937831,-0.003902006
1996/7/25,0.000133,-0.026668566,0.002122397,0.007937881
1996/7/26,0.000133,-0.025734936,0.00138589,-0.014942052
1996/7/29,0.000133,0.028105045,0.024192699,0.033316078
1996/7/30,0.000133,-0.019607726,0.00265786,0.003316217
1996/7/31,0.000133,-0.020000055,-0.006191786,-0.011014804
1996/8/1,0.000133,0.016014568,0.002692187,-0.007197693
1996/8/2,0.000133,-0.005549904,-0.015606337,-0.019329959
1996/8/5,0.000133,0.018842089,-0.00017272,0.003209723
1996/8/6,0.000133,0.011415104,-0.005667469,-0.004511033
1996/8/7,0.000133,0.012474815,-0.006864535,0.014776231
1996/8/8,0.000133,0.007068626,0.001881495,-0.010369544
1996/8/9,0.000133,-0.009374481,0.007700887,0.008267216
1996/8/12,0.000133,0.016357868,0.0048455,-0.009415407
1996/8/13,0.000133,-0.008585395,-0.004997651,0.008821201
1996/8/14,0.000133,-0.00452152,-0.00233803,-0.003891562
1996/8/15,0.000133,-0.010314288,-0.0064395,-0.003948005
1996/8/16,0.000133,-0.013172946,-0.000202882,-0.000508498
1996/8/19,0.000133,-0.025367639,0.004482952,-0.005421197
1996/8/20,0.000133,-0.025565058,-0.010321569,-0.031376781
1996/8/21,0.000133,0.023822644,0.00538173,0.016554095
1996/8/22,0.000133,-0.021660848,-0.007003941,-0.011270109
1996/8/23,9.10E-05,-0.019114507,-0.001700301,0.003968316
1996/8/26,9.10E-05,-0.038221215,-0.010336274,0.001244773
1996/8/27,9.10E-05,0.020994564,0.004260579,0.014797651
1996/8/28,9.10E-05,0.021345139,0.010313047,0.029448816
1996/8/29,9.10E-05,-0.003061841,0.002338479,0.017644008
1996/8/30,9.10E-05,0.037050505,0.009418754,0.028297874
1996/9/2,9.10E-05,0.010706858,0.023378336,0.050415681
1996/9/3,9.10E-05,-0.012107365,-0.00602342,-0.009023005
1996/9/4,9.10E-05,0.01834117,0.005469911,0.00856224
1996/9/5,9.10E-05,-0.017171832,-0.008028712,-0.035715231
1996/9/6,9.10E-05,-0.014608493,0.004281894,0.000661004
1996/9/9,9.10E-05,-0.011759489,0.003349917,0.004821485
1996/9/10,9.10E-05,-0.037403915,-0.00410442,-0.004853697
1996/9/11,9.10E-05,0.011990097,0.005609818,0.011300832
1996/9/12,9.10E-05,-0.020079569,-0.003871176,-0.019123401
1996/9/13,9.10E-05,0.026652066,-0.001117185,-8.81E-05
1996/9/16,9.10E-05,0.006567676,0.011548557,0.019170764
1996/9/17,9.10E-05,0.003595874,-0.000462338,0.01516619
1996/9/18,9.10E-05,-0.032606759,-0.008644386,-0.019540108
1996/9/19,9.10E-05,0.012310562,0.00155402,0.002722868
1996/9/20,9.10E-05,0.038680689,-0.014303901,-0.008521421
1996/9/23,9.10E-05,0.040174161,-0.022705448,-0.024671757
1996/9/24,9.10E-05,0.004766915,0.001020113,0.006898265
1996/9/25,9.10E-05,-0.014804753,0.002827337,0.010305365
1996/9/26,9.10E-05,0.020362256,-0.004778298,-0.00815308
1996/9/27,9.10E-05,0.028100601,-0.013232114,-0.004469354
1996/10/3,9.10E-05,0.000803912,0.022662337,0.016077084
1996/10/4,9.10E-05,0.001109097,0.014925206,0.015635006
1996/10/7,9.10E-05,0.012997964,0.019160219,0.037498447
1996/10/8,9.10E-05,0.019699303,-0.002192733,0.008945726
1996/10/9,9.10E-05,-0.008737584,-0.010866808,-0.006945812
1996/10/10,9.10E-05,0.035750939,0.001721499,0.012349194
