date,RF,MKT
1997/11/25,0.000079,0.003762858
1997/11/26,0.000079,0.015259405
1997/11/27,0.000079,-0.022349163
1997/11/28,0.000079,0.017557457
1997/12/1,0.000079,-0.010867134
1997/12/2,0.000079,-0.003861322
1997/12/3,0.000079,-0.008957508
1997/12/4,0.000079,0.012658766
1997/12/5,0.000079,-0.0000955
1997/12/8,0.000079,-0.003963921
1997/12/9,0.000079,0.008690763
1997/12/10,0.000079,0.009561886
1997/12/11,0.000079,0.001887078
1997/12/12,0.000079,-0.007033435
1997/12/15,0.000079,0.006206667
1997/12/16,0.000079,0.007448823
1997/12/17,0.000079,-0.024738469
1997/12/18,0.000079,0.003702375
1997/12/19,0.000079,0.001884744
1997/12/22,0.000079,0.0000915
1997/12/23,0.000079,0.006336939
1997/12/24,0.000079,-0.004073778
1997/12/25,0.000079,0.007080528
1997/12/26,0.000079,0.012341394
1997/12/29,0.000079,0.006303615
1997/12/30,0.000079,-0.008463925
1997/12/31,0.000079,0.004949674
1998/1/5,0.000079,0.020144616
1998/1/6,0.000079,0.008315687
1998/1/7,0.000079,0.010008386
1998/1/8,0.000079,-0.001239588
1998/1/9,0.000079,-0.000398171
1998/1/12,0.000079,-0.005220728
1998/1/13,0.000079,-0.049954269
1998/1/14,0.000079,0.033802304
1998/1/15,0.000079,0.014763256
1998/1/16,0.000079,-0.009166354
1998/1/19,0.000079,-0.006860351
1998/1/20,0.000079,-0.007011436
1998/1/21,0.000079,-0.005729001
1998/1/22,0.000079,0.001447017
1998/1/23,0.000079,0.016102461
