时间,收盘点位,市值(元),流通市值(元),股息率市值加权
2018/9/21,3880.92350 ,53696326372306.40000 ,38975101044722.00000 ,0.02150 
2018/9/20,3797.68840 ,52433551072279.50000 ,38073215804468.00000 ,0.02200 
2018/9/19,3803.23260 ,52468088851813.00000 ,38098590214462.00000 ,0.02200 
2018/9/18,3757.59340 ,51823395688484.00000 ,37595309744272.00000 ,0.02230 
2018/9/17,3688.77160 ,50928543794274.70000 ,36934282765673.00000 ,0.02270 
2018/9/14,3737.70130 ,51567612299431.90000 ,37373816166697.00000 ,0.02240 
2018/9/13,3752.72210 ,51738608591107.60000 ,37463089294902.00000 ,0.02230 
2018/9/12,3719.20720 ,51196321400298.60000 ,37070024805190.00000 ,0.02250 
2018/9/11,3734.40860 ,51390078145587.50000 ,37230426019183.00000 ,0.02240 
2018/9/10,3736.49750 ,51426976591652.60000 ,37265814262763.00000 ,0.02240 
2018/9/7,3798.58220 ,52159569734960.50000 ,37770299356025.00000 ,0.02210 
2018/9/6,3786.48730 ,52001389382457.60000 ,37637381333095.00000 ,0.02220 
2018/9/5,3814.90630 ,52305960481522.50000 ,37895169354641.00000 ,0.02200 
2018/9/4,3881.62340 ,53232393303829.00000 ,38540293064522.00000 ,0.02170 
2018/9/3,3836.32190 ,52643089180906.50000 ,38122505050821.00000 ,0.02190 
2018/8/31,3842.13800 ,52708424939766.30000 ,38160718296049.00000 ,0.02190 
2018/8/30,3871.93590 ,53023371956198.30000 ,38370244028718.00000 ,0.02160 
2018/8/29,3922.18450 ,53689584018862.90000 ,38848769600986.00000 ,0.02120 
2018/8/28,3941.58590 ,53906378362939.10000 ,39001815110664.00000 ,0.02110 
2018/8/27,3942.59930 ,53908381541100.70000 ,39017900800971.00000 ,0.02110 
2018/8/24,3854.98610 ,52811866307862.80000 ,38196649337690.00000 ,0.02140 
2018/8/23,3856.64720 ,52719054810288.90000 ,38131824177415.00000 ,0.02140 
2018/8/22,3838.79400 ,52494569027568.10000 ,37980332040427.00000 ,0.02150 
2018/8/21,3870.74730 ,52924240273035.40000 ,38281726532505.00000 ,0.02110 
2018/8/20,3814.69770 ,52230395141361.90000 ,37759982665139.00000 ,0.02130 
2018/8/17,3785.01250 ,51749685725239.40000 ,37414102588654.00000 ,0.02150 
2018/8/16,3846.74650 ,52494704556698.80000 ,37938842280099.00000 ,0.02120 
2018/8/15,3876.45570 ,52851961829007.70000 ,38215818231037.00000 ,0.02110 
2018/8/14,3962.88230 ,53975261319521.10000 ,39025862993723.00000 ,0.02060 
2018/8/13,3978.55720 ,54110578743582.90000 ,39127741227913.00000 ,0.02060 
2018/8/10,3979.61300 ,54234182870833.50000 ,39194248640379.00000 ,0.02050 
2018/8/9,3963.80340 ,54133582716347.60000 ,39114221258025.00000 ,0.02050 
