时间,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),股息率市值加权
2014/1/3,2290.78,,17050449787517.50000 ,12478813812165.00000 ,0.03470 
2014/1/2,2321.98,,17256888988034.40000 ,12632987104217.00000 ,0.03430 
2013/12/31,2330.03,,17318187444897.60000 ,12677547566802.00000 ,0.03420 
2013/12/30,2299.46,,17133024980506.10000 ,12538938621672.00000 ,0.03450 
2013/12/27,2303.48,,17198634245979.80000 ,12578098104162.00000 ,0.03440 
2013/12/26,2265.33,,16967670744991.90000 ,12409995258056.00000 ,0.03480 
2013/12/25,2305.11,,17234859203690.00000 ,12600841356354.00000 ,0.03430 
2013/12/24,2288.25,,17133431454731.50000 ,12524162394690.00000 ,0.03450 
2013/12/23,2284.6,,17118815876416.60000 ,12513889163562.00000 ,0.03450 
2013/12/20,2278.14,,16997534932925.90000 ,12459180106311.00000 ,0.03480 
2013/12/19,2332.41,,17413884058257.80000 ,12738913630182.00000 ,0.03390 
2013/12/18,2357.23,,17561187105782.70000 ,12850023711020.00000 ,0.03370 
2013/12/17,2356.38,,17580444609790.00000 ,12832690946969.00000 ,0.03360 
2013/12/16,2367.92,,17660360782005.50000 ,12887350656386.00000 ,0.03350 
2013/12/13,2406.64,,17570975746059.60000 ,12875705099910.00000 ,0.03350 
2013/12/12,2410.01,,17643959900343.00000 ,12926111103001.00000 ,0.03330 
2013/12/11,2412.76,,17669144884144.80000 ,12945876197399.00000 ,0.03330 
2013/12/10,2453.32,,17952176556232.30000 ,13151525981281.00000 ,0.03280 
2013/12/9,2450.87,,17969319469137.00000 ,13167017457556.00000 ,0.03270 
2013/12/6,2452.29,,17989617552248.20000 ,13179032872613.00000 ,0.03270 
2013/12/5,2468.2,,18055783371212.10000 ,13233970398174.00000 ,0.03260 
2013/12/4,2475.14,,18120708133694.20000 ,13283987220590.00000 ,0.03250 
2013/12/3,2442.78,,17949936047547.90000 ,13147067030551.00000 ,0.03280 
2013/12/2,2418.79,,17879664264139.50000 ,13091561779080.00000 ,0.03290 
2013/11/29,2438.94,,17807625059063.70000 ,13042571359018.00000 ,0.03300 
2013/11/28,2439.53,,17835022887007.40000 ,13053579542140.00000 ,0.03300 
2013/11/27,2414.48,,17677001213034.00000 ,12934158244478.00000 ,0.03330 
2013/11/26,2387.42,,17534640188961.40000 ,12829427795869.00000 ,0.03350 
2013/11/25,2388.63,,17574896911513.50000 ,12861123769024.00000 ,0.03350 
2013/11/22,2397.96,,17686687774886.40000 ,12938420597436.00000 ,0.03330 
2013/11/21,2409.99,,17725805196653.60000 ,12983430761113.00000 ,0.03320 
2013/11/20,2424.85,,17742653949552.10000 ,12988791622349.00000 ,0.03320 
2013/11/19,2412.16,,17654191864979.20000 ,12926435866229.00000 ,0.03330 
2013/11/18,2428.9,,17726050779395.90000 ,12975566299413.00000 ,0.03320 
2013/11/15,2350.73,,17235967513013.30000 ,12614154346572.00000 ,0.03410 
2013/11/14,2304.5,,16981111790178.60000 ,12413424466087.00000 ,0.03460 
2013/11/13,2288.12,,16903764417962.80000 ,12360266958268.00000 ,0.03480 
2013/11/12,2340,,17220467465437.80000 ,12591409297475.00000 ,0.03420 
2013/11/11,2315.89,,17094223741893.30000 ,12480329527522.00000 ,0.03440 
2013/11/8,2307.95,,17043472615327.50000 ,12448753683125.00000 ,0.03450 
2013/11/7,2340.55,,17211419145207.60000 ,12578737830004.00000 ,0.03420 
2013/11/6,2353.57,,17251323372476.80000 ,12605458886468.00000 ,0.03410 
2013/11/5,2383.77,,17402765602102.10000 ,12707633488943.00000 ,0.03380 
2013/11/4,2380.45,,17383659112983.30000 ,12697317608342.00000 ,0.03380 
2013/11/1,2384.96,,17411595102457.30000 ,12715195225849.00000 ,0.03380 
2013/10/31,2373.72,,17314700231391.80000 ,12651005184650.00000 ,0.03400 
2013/10/30,2407.47,,17447168327428.80000 ,12745003189975.00000 ,0.03370 
2013/10/29,2372.05,,17205913615459.90000 ,12557931532072.00000 ,0.03420 
2013/10/28,2365.95,,17119315344011.60000 ,12504122867807.00000 ,0.03440 
2013/10/25,2368.56,,17113120024313.40000 ,12488570268950.00000 ,0.03440 
2013/10/24,2400.51,,17327874977051.90000 ,12641953877020.00000 ,0.03400 
2013/10/23,2418.49,,17486169392719.10000 ,12753312152754.00000 ,0.03370 
2013/10/22,2445.89,,17640845021001.10000 ,12873770185658.00000 ,0.03340 
2013/10/21,2471.32,,17787720323509.80000 ,12976217369891.00000 ,0.03310 
2013/10/18,2426.05,,17534909105134.00000 ,12789758687120.00000 ,0.03360 
2013/10/17,2413.33,,17486697382597.10000 ,12758188162596.00000 ,0.03370 
2013/10/16,2421.37,,17511102086723.70000 ,12775793327249.00000 ,0.03360 
2013/10/15,2467.52,,17747116763129.80000 ,12953974327190.00000 ,0.03320 
2013/10/14,2472.54,,17823401901191.70000 ,12993846117927.00000 ,0.03310 
2013/10/11,2468.51,,17787933167418.80000 ,12954379503249.00000 ,0.03310 
2013/10/10,2429.32,,17528030401235.10000 ,12775670799516.00000 ,0.03360 
2013/10/9,2453.58,,17682799174444.40000 ,12895599036472.00000 ,0.03330 
2013/10/8,2441.81,,17626334445536.00000 ,12841994227607.00000 ,0.03340 
2013/9/30,2409.04,,17449665320494.10000 ,12709423063988.00000 ,0.03380 
2013/9/27,2394.97,,17371251771789.90000 ,12634264075368.00000 ,0.03390 
2013/9/26,2384.44,,17316070165530.10000 ,12589182986619.00000 ,0.03400 
2013/9/25,2429.03,,17591684975061.70000 ,12788261825734.00000 ,0.03350 
2013/9/24,2443.89,,17676460943991.60000 ,12849573904394.00000 ,0.03330 
2013/9/23,2472.29,,17855318841829.30000 ,12973169243127.00000 ,0.03300 
2013/9/18,2432.51,,17634499555273.50000 ,12815478177655.00000 ,0.03340 
2013/9/17,2427.32,,17611900905761.20000 ,12834910347069.00000 ,0.03350 
2013/9/16,2478.39,,17955474860939.10000 ,13092118948422.00000 ,0.03280 
2013/9/13,2488.9,,18014740868479.00000 ,13142041436091.00000 ,0.03270 
2013/9/12,2507.46,,18173652527679.50000 ,13249734976012.00000 ,0.03240 
2013/9/11,2482.89,,18031934773100.20000 ,13160075725391.00000 ,0.03270 
2013/9/10,2474.89,,17988497807683.00000 ,13119605469015.00000 ,0.03280 
2013/9/9,2440.61,,17850494013256.20000 ,12996568888032.00000 ,0.03300 
2013/9/6,2357.78,,17185019641113.40000 ,12531918595776.00000 ,0.03430 
2013/9/5,2341.74,,17095008931559.10000 ,12442612837490.00000 ,0.03450 
2013/9/4,2350.7,,17131999587692.30000 ,12472464066425.00000 ,0.03440 
2013/9/3,2354.5,,17140140311786.00000 ,12479450949151.00000 ,0.03440 
2013/9/2,2320.34,,16929281167162.90000 ,12324946536918.00000 ,0.03480 
2013/8/30,2313.91,,16902397132940.10000 ,12314611683029.00000 ,0.03480 
2013/8/29,2318.31,,16913245240329.30000 ,12322600015039.00000 ,0.03480 
2013/8/28,2328.06,,16976854476833.40000 ,12373786264689.00000 ,0.03470 
2013/8/27,2340.88,,17044105617524.80000 ,12418003619314.00000 ,0.03450 
